45_CFR_Citation,HIPAA_Requirement_Title,HIPAA_Requirement_Summary,Implementation_Type,Safeguard_Family,Official_Section_URL,Official_Support_URL,HHS_Combined_Regulation_URL,HHS_Audit_Protocol_URL,Notes
45 C.F.R. § 164.306(e),Maintenance,"Review and modify security measures as needed to continue providing reasonable and appropriate protection of ePHI, and update related documentation.",Standard maintenance requirement,General Rules,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.306,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used mainly for maintenance / update best-fit mappings.
45 C.F.R. § 164.308(a)(1)(ii)(A),Security Management Process — Risk Analysis,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of ePHI.",Required implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/security/guidance/guidance-risk-analysis/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Official title also appears in Appendix A Security Standards Matrix.
45 C.F.R. § 164.308(a)(1)(ii)(B),Security Management Process — Risk Management,Implement security measures sufficient to reduce identified risks and vulnerabilities to a reasonable and appropriate level.,Required implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/security/guidance/guidance-risk-analysis/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used where evidence shows mitigation / remediation or maintenance of safeguards.
45 C.F.R. § 164.308(a)(3)(ii)(C),Workforce Security — Termination Procedures,Implement procedures for terminating a workforce member’s access to ePHI when employment ends or when access should otherwise be removed.,Addressable implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/security/guidance/cybersecurity-newsletter-summer-2019/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for termination / transfer / access-revocation evidence.
45 C.F.R. § 164.308(a)(4),Information Access Management,Implement policies and procedures for authorizing access to ePHI that are consistent with the applicable requirements of the HIPAA Privacy Rule.,Standard,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used at the standard level when the control is broader than a single access-management implementation specification.
45 C.F.R. § 164.308(a)(4)(ii)(B),Information Access Management — Access Authorization,"Implement policies and procedures for granting access to ePHI through appropriate mechanisms such as workstations, transactions, programs, or processes.",Addressable implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used when the evidence focuses on granting or approving access.
45 C.F.R. § 164.308(a)(4)(ii)(C),Information Access Management — Access Establishment and Modification,"Implement policies and procedures to establish, document, review, and modify a user’s right of access to a workstation, transaction, program, or process.",Addressable implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,"Used when the evidence focuses on access reviews, modifications, or removals."
45 C.F.R. § 164.308(a)(5),Security Awareness and Training,"Implement a security awareness and training program for all members of the workforce, including management.",Standard,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/securityrule/adminsafeguards.pdf,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for broad workforce training controls.
45 C.F.R. § 164.308(a)(5)(ii)(B),Security Awareness and Training — Protection from Malicious Software,"Implement procedures for guarding against, detecting, and reporting malicious software.",Addressable implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for anti-malware and malicious-software protection controls.
45 C.F.R. § 164.308(a)(5)(ii)(D),Security Awareness and Training — Password Management,"Implement procedures for creating, changing, and safeguarding passwords.",Addressable implementation specification,Administrative Safeguards,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164/section-164.308,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/securityrule/adminsafeguards.pdf,https://www.hhs.gov/sites/default/files/ocr/privacy/hipaa/administrative/combined/hipaa-simplification-201303.pdf,https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/audit/protocol-edited/index.html,Used for password-management policy and practice controls.
